,Sondre,Christensen,Kjønnsqueer,02.05.2010,sivamundsen@example.com,89671841,Nguyensvingen 49,3960,Simonsen,Joakim,Kristoffersen,+47 04 45 99 25,2024-09-02 05:34:23
,Torill,Iversen,Annet,28.09.2006,monicachristensen@example.org,97362308,Mikkelsenlyngen 06,3844,Martinsen,Berit,Abrahamsen,415 14 432,2024-09-02 05:34:23
,Sverre,Jenssen,Kjønnsqueer,07.01.2008,sivtveit@example.net,+4765636749,Holmtoppen 4C,7767,Gulbrandsen,Kjersti,Holm,92377155,2024-09-02 05:34:23
,Rolf,Dahl,Ikke-binær,18.11.2006,henrikaasen@example.org,49077069,Hansenstien 421,8354,Helgeås,Petter,Myhre,48576840,2024-09-02 05:34:23
,Joakim,Antonsen,Annet,27.06.2010,onygaard@example.org,945 70 349,Thomassenstubben 53,5873,Sirivær,Robert,Thorsen,54363563,2024-09-02 05:34:23
,Lars,Olsen,Agender,01.06.2010,emil30@example.net,47 59 38 53,Aasenhavna 1,1661,Jondal,Linda,Amundsen,93303274,2024-09-02 05:34:23
,Hilde,Haugen,Annet,14.12.2005,xsolheim@example.net,97561468,Johnsenroa 8E,8110,Haugland,May,Eliassen,01938422,2024-09-02 05:34:23
,Bjørn,Nguyen,Kjønnsqueer,12.04.2008,eivindlund@example.com,910 66 192,Pedersenberget 9B,1835,Christensen,Mette,Solberg,22013942,2024-09-02 05:34:23
,Stian,Næss,Ikke-binær,23.10.2004,finn38@example.net,464 59 610,Mathisenhaugen 345,4408,Marithavn,Simen,Sandvik,83 70 97 38,2024-09-02 05:34:23
,Bente,Myhre,Ikke-binær,27.06.2004,jan57@example.net,69 70 52 12,Gundersenskogen 5,6669,Mikkelsen,Irene,Fredriksen,43171022,2024-09-02 05:34:23
,Line,Eide,Mann,17.02.2008,astridpaulsen@example.com,23667606,Gulbrandsenspranget 6A,7917,Jorunnås,Roy,Abrahamsen,49884888,2024-09-02 05:34:23
,Marius,Hansen,Mann,24.06.2007,sirievensen@example.org,71 60 92 74,Jenssenlia 9,4957,Theavær,Johan,Ali,92943498,2024-09-02 05:34:23
,Sara,Larsen,Ikke-binær,26.07.2009,laila07@example.org,41598132,Tveitgropa 7,7602,Kirstenfjell,Anita,Berg,29216128,2024-09-02 05:34:23
,Thor,Nygård,Annet,10.04.2007,inger06@example.org,03560900,Kristoffersenstranda 6,2354,Rasmussen,Kirsten,Engen,34071438,2024-09-02 05:34:23
,Øyvind,Haug,Mann,02.09.2009,eli20@example.com,436 68 816,Alikroken 54,7949,Martinsen,Monica,Kristiansen,+47 48 92 38 07,2024-09-02 05:34:23
,Linda,Olsen,Agender,15.02.2004,ythorsen@example.org,90573119,Alistubben 47E,2776,Kristiannes,Stein,Rønning,+4764636267,2024-09-02 05:34:23
,Einar,Rønning,Agender,27.02.2008,lsandvik@example.com,25 37 20 63,Andersenberget 8,7935,Jenssen,Frank,Johansen,88381597,2024-09-02 05:34:23
